Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
rpVX-o82EEOX8ZDnM28a_Q,2022-10-10 21:00:33.072885,Bistango,italian,4,330,145 E 50th St,10022,40.75628,-73.97144
V3USzFEGhuoXez4G2Rk11A,2022-10-10 21:00:33.072904,Tavola,italian,4,1172,488 9th Ave,10018,40.755403,-73.994516
OAqsZMbjv66nOMqlimnYuQ,2022-10-10 21:00:33.072923,Uva,italian,4,2629,1486 2nd Ave,10075,40.77219299003591,-73.95561517222123
MOwB9YYd-Ko6nVgSB-ltQw,2022-10-10 21:00:33.072944,Briciola,italian,4,959,370 W 51st St,10019,40.7637997047278,-73.9880919456482
a4WZUTKn90dOkeY38JHNjQ,2022-10-10 21:00:33.072965,Aurora,italian,4,774,70 Grand St,11249,40.715621,-73.964757
NAlOPUbFQVE0bUu8_wmBLQ,2022-10-10 21:00:33.072984,Rezdôra,italian,4,499,27 E 20th St,10003,40.73901,-73.9891
l7OsDvMOO3ji3fg0nT0QzA,2022-10-10 21:00:33.073003,Tony's Di Napoli,italian,4,797,1081 3rd Ave,10065,40.764385574147596,-73.96426247506157
7_hGsGEkHrjgAiYVjrCFnw,2022-10-10 21:00:33.073025,Carbone,italian,4,1467,181 Thompson St,10012,40.728,-74.0001497
LXdblKc5g1Dp17xiV-Am1w,2022-10-10 21:00:33.073045,Trattoria Dell'Arte,italian,4,1118,900 7th Ave,10019,40.76545990643915,-73.98053136970677
22nKUyCIbpnzR6R3_g1ptQ,2022-10-10 21:00:33.073066,Carmine's Italian Restaurant - Times Square,italian,4,4221,200 W 44th St,10036,40.75749848725768,-73.98665333142026
dc3hkLkAqCSxDWQzrx-g9A,2022-10-10 21:00:33.073089,Quality Italian,italian,4,1270,57 W 57th St,10019,40.7644044527436,-73.9767805051616
vjubSxmdG_HoBBgd39geBw,2022-10-10 21:00:33.073110,Nino's 46,italian,4,1295,39 W 46th St,10036,40.7569046125342,-73.980516
Business ID,insertedAtTimestamp,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude
IAbOg5Kd5AynOcbI8vGTwQ,2022-10-10 21:00:34.323254,Aperitivo,italian,4.5,44,14 E 60th St,10022,40.76431314475945,-73.9717568
K9Ur20N51Li3sAvaV9-6Ng,2022-10-10 21:00:34.323301,Casa Limone,italian,4.5,72,20 East 49th St,10017,40.7573268,-73.97666174194207
15k7iqFbhf4h8L01yggLqg,2022-10-10 21:00:34.323319,Song E Napule,italian,4.5,638,146 W Houston St,10012,40.72813,-74.00188
b6jOwyX4iaagw8YjXqq1sA,2022-10-10 21:00:34.323334,Antonio's Trattoria,italian,4.5,961,2370 Belmont Ave,10458,40.854131,-73.886601
